#                                                                                                                                                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                                                                                                        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                                                                                                                ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Ursus_arctos____carnivora_XP_026370371.1_zinc_finger_protein_268_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           5.5e-291  968.0 145.1   2.9e-86  292.1  34.6   4.6   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026370392.1_zinc_finger_protein_26_isoform_X11_[Ursus_arctos_horribilis]                                                -          test1                -           1.2e-284  947.1 174.9   9.1e-79  267.4  44.2   6.4   2   1   4   6   6   5   5 -
Ursus_arctos____carnivora_XP_026366579.1_zinc_finger_protein_300_isoform_X4_[Ursus_arctos_horribilis]                                                -          test1                -           7.5e-281  934.5 135.2   1.2e-80  273.5  32.5   5.3   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026357315.1_zinc_finger_protein_197_isoform_X4_[Ursus_arctos_horribilis]                                                -          test1                -           4.2e-278  925.5 131.8   4.7e-90  304.6  39.0   5.1   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026345168.1_zinc_finger_protein_418-like_isoform_X1_[Ursus_arctos_horribilis]                                           -          test1                -           3.4e-275  915.9 194.8   1.7e-87  296.2  40.9   6.3   1   1   5   6   6   6   6 -
Ursus_arctos____carnivora_XP_026357313.1_zinc_finger_protein_197_isoform_X2_[Ursus_arctos_horribilis]                                                -          test1                -           6.6e-275  914.9 130.4   6.9e-90  304.1  39.2   5.1   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026357309.1_zinc_finger_protein_197_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -             7e-275  914.8 130.4     7e-90  304.1  39.2   5.1   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026357310.1_zinc_finger_protein_197_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -             7e-275  914.8 130.4     7e-90  304.1  39.2   5.1   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026357311.1_zinc_finger_protein_197_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -             7e-275  914.8 130.4     7e-90  304.1  39.2   5.1   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026357312.1_zinc_finger_protein_197_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -             7e-275  914.8 130.4     7e-90  304.1  39.2   5.1   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026356412.1_zinc_finger_protein_502_isoform_X3_[Ursus_arctos_horribilis]                                                -          test1                -           8.3e-273  908.0 160.8   1.5e-74  253.4  34.1   5.3   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026344104.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_432_[Ursus_arctos_horribilis]                                      -          test1                -           2.8e-269  896.3 124.1   4.5e-94  317.9  28.3   4.5   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026335879.1_zinc_finger_protein_2_isoform_X4_[Ursus_arctos_horribilis]                                                  -          test1                -           5.4e-266  885.5 156.2     7e-83  280.9  35.9   5.2   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026363435.1_zinc_finger_protein_62_homolog_isoform_X2_[Ursus_arctos_horribilis]                                         -          test1                -           2.5e-261  870.1 124.4   4.8e-81  274.9  33.8   5.3   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026363525.1_zinc_finger_protein_879_isoform_X3_[Ursus_arctos_horribilis]                                                -          test1                -           1.7e-259  864.0 133.0  1.8e-101  342.3  43.8   4.5   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026344106.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_84-like_[Ursus_arctos_horribilis]                                  -          test1                -           1.5e-254  847.7 170.1   1.7e-83  283.0  43.1   5.1   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026376843.1_zinc_finger_protein_624_isoform_X3_[Ursus_arctos_horribilis]                                                -          test1                -           1.9e-253  844.0 122.1   1.1e-85  290.2  34.8   5.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026376844.1_zinc_finger_protein_624_isoform_X3_[Ursus_arctos_horribilis]                                                -          test1                -           1.9e-253  844.0 122.1   1.1e-85  290.2  34.8   5.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026345190.1_zinc_finger_protein_132-like_isoform_X2_[Ursus_arctos_horribilis]                                           -          test1                -           1.9e-247  824.3 145.8   1.7e-68  233.5  34.4   5.2   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026345188.1_zinc_finger_protein_132-like_isoform_X1_[Ursus_arctos_horribilis]                                           -          test1                -           1.4e-246  821.4 145.2   6.1e-68  231.6  33.9   5.1   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026345189.1_zinc_finger_protein_132-like_isoform_X1_[Ursus_arctos_horribilis]                                           -          test1                -           1.4e-246  821.4 145.2   6.1e-68  231.6  33.9   5.1   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026351961.1_zinc_finger_protein_271_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           5.9e-246  819.3 113.2     1e-97  330.0  42.8   3.9   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026351962.1_zinc_finger_protein_271_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           5.9e-246  819.3 113.2     1e-97  330.0  42.8   3.9   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026351963.1_zinc_finger_protein_271_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           5.9e-246  819.3 113.2     1e-97  330.0  42.8   3.9   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026351964.1_zinc_finger_protein_271_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           5.9e-246  819.3 113.2     1e-97  330.0  42.8   3.9   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026371974.1_zinc_finger_protein_with_KRAB_and_SCAN_domains_1_isoform_X5_[Ursus_arctos_horribilis]                       -          test1                -           9.4e-242  805.4 116.3   1.9e-62  213.5  29.9   5.9   1   1   5   6   6   5   5 -
Ursus_arctos____carnivora_XP_026372091.1_zinc_finger_protein_665-like_[Ursus_arctos_horribilis]                                                      -          test1                -           2.3e-240  800.9 168.9   1.8e-72  246.6  33.3   4.5   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026345178.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_17-like_[Ursus_arctos_horribilis]                                  -          test1                -           3.3e-239  797.1 146.0   5.7e-49  169.0  17.0   7.3   2   2   5   7   7   7   7 -
Ursus_arctos____carnivora_XP_026345144.1_zinc_finger_protein_304_[Ursus_arctos_horribilis]                                                           -          test1                -           4.7e-236  786.6 141.6   5.7e-55  188.8  27.6   4.6   1   1   5   6   6   6   6 -
Ursus_arctos____carnivora_XP_026345877.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_582_[Ursus_arctos_horribilis]                                      -          test1                -             2e-235  784.6 156.8   1.4e-54  187.5  16.0   5.0   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026345170.1_zinc_finger_protein_345-like_[Ursus_arctos_horribilis]                                                      -          test1                -           5.3e-235  783.2 144.0   4.1e-52  179.4  20.2   6.0   1   1   5   6   6   6   6 -
Ursus_arctos____carnivora_XP_026374459.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_782_[Ursus_arctos_horribilis]                                      -          test1                -           8.6e-235  782.5 153.0   5.4e-92  311.0  51.3   5.4   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026343964.1_zinc_finger_protein_665-like_[Ursus_arctos_horribilis]                                                      -          test1                -           1.5e-234  781.7 118.8  6.6e-100  337.1  43.5   4.0   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026363434.1_zinc_finger_protein_62_homolog_isoform_X1_[Ursus_arctos_horribilis]                                         -          test1                -           1.2e-233  778.7 104.7   5.4e-81  274.7  33.6   5.5   1   1   2   4   4   4   4 -
Ursus_arctos____carnivora_XP_026347219.1_zinc_finger_protein_850-like_[Ursus_arctos_horribilis]                                                      -          test1                -           4.9e-232  773.4 130.5   2.3e-94  318.8  42.2   5.3   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026347220.1_zinc_finger_protein_850-like_[Ursus_arctos_horribilis]                                                      -          test1                -           4.9e-232  773.4 130.5   2.3e-94  318.8  42.2   5.3   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026337919.1_zinc_finger_protein_234-like_[Ursus_arctos_horribilis]                                                      -          test1                -           4.1e-231  770.3 140.6     1e-78  267.2  39.1   3.8   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026337920.1_zinc_finger_protein_234-like_[Ursus_arctos_horribilis]                                                      -          test1                -           4.1e-231  770.3 140.6     1e-78  267.2  39.1   3.8   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026340162.1_zinc_finger_protein_420_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           1.1e-230  768.9 118.5   4.6e-69  235.3  31.0   5.0   1   1   2   4   4   4   4 -
Ursus_arctos____carnivora_XP_026347124.1_zinc_finger_protein_665-like,_partial_[Ursus_arctos_horribilis]                                             -          test1                -           9.8e-230  765.8 175.0   4.9e-60  205.5  42.2   6.8   1   1   5   6   6   6   6 -
Ursus_arctos____carnivora_XP_026347123.1_zinc_finger_protein_665-like_[Ursus_arctos_horribilis]                                                      -          test1                -             2e-229  764.8 174.0   5.9e-60  205.3  42.5   6.8   1   1   5   6   6   6   6 -
Ursus_arctos____carnivora_XP_026345171.1_LOW_QUALITY_PROTEIN:_neurotrophin_receptor-interacting_factor_homolog_[Ursus_arctos_horribilis]             -          test1                -           2.8e-229  764.3 148.4   1.1e-77  263.8  35.7   5.3   2   1   2   5   5   5   4 -
Ursus_arctos____carnivora_XP_026369560.1_zinc_finger_protein_37_homolog_isoform_X3_[Ursus_arctos_horribilis]                                         -          test1                -           2.7e-227  757.7 127.4   2.3e-94  318.8  61.5   4.9   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026345224.1_zinc_finger_and_SCAN_domain-containing_protein_22_isoform_X2_[Ursus_arctos_horribilis]                      -          test1                -           1.3e-222  742.3 126.0   6.1e-85  287.7  48.7   4.5   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026347038.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_883-like_[Ursus_arctos_horribilis]                                 -          test1                -           2.7e-221  737.9 137.0   1.6e-95  322.7  49.6   3.5   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026369247.1_zinc_finger_protein_41_isoform_X2_[Ursus_arctos_horribilis]                                                 -          test1                -           1.5e-220  735.5 126.0   1.9e-80  272.9  36.4   5.3   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026366946.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_883-like_[Ursus_arctos_horribilis]                                 -          test1                -             3e-220  734.5 117.5     1e-87  296.9  40.8   3.5   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026374455.1_zinc_finger_protein_658_[Ursus_arctos_horribilis]                                                           -          test1                -           1.4e-215  719.0 131.4   9.4e-91  306.9  42.2   6.3   3   2   3   6   6   6   5 -
Ursus_arctos____carnivora_XP_026347003.1_zinc_finger_protein_260-like_[Ursus_arctos_horribilis]                                                      -          test1                -           1.8e-215  718.7 146.8   6.4e-76  258.0  43.3   4.5   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026337557.1_zinc_finger_protein_473_[Ursus_arctos_horribilis]                                                           -          test1                -           9.9e-215  716.2 182.6   9.7e-69  234.3  41.8   4.6   1   1   3   5   5   5   5 -
Ursus_arctos____carnivora_XP_026337558.1_zinc_finger_protein_473_[Ursus_arctos_horribilis]                                                           -          test1                -           9.9e-215  716.2 182.6   9.7e-69  234.3  41.8   4.6   1   1   3   5   5   5   5 -
Ursus_arctos____carnivora_XP_026344615.1_zinc_finger_protein_250_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           6.7e-214  713.5 111.1   6.6e-55  188.6  22.6   5.0   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026344616.1_zinc_finger_protein_250_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           6.7e-214  713.5 111.1   6.6e-55  188.6  22.6   5.0   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026340155.1_zinc_finger_protein_345-like_[Ursus_arctos_horribilis]                                                      -          test1                -           7.2e-214  713.4 124.3   2.1e-63  216.7  26.5   3.8   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026344605.1_zinc_finger_protein_252-like_isoform_X2_[Ursus_arctos_horribilis]                                           -          test1                -           1.6e-212  708.9 130.3   3.1e-67  229.3  24.4   4.9   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026344604.1_zinc_finger_protein_252-like_isoform_X1_[Ursus_arctos_horribilis]                                           -          test1                -           2.2e-212  708.5 132.6   3.7e-67  229.0  24.4   4.8   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026345151.1_zinc_finger_protein_501-like_[Ursus_arctos_horribilis]                                                      -          test1                -           5.8e-212  707.1 131.0   5.8e-49  169.0  25.0   4.6   2   1   4   6   6   6   6 -
Ursus_arctos____carnivora_XP_026343970.1_zinc_finger_protein_665-like_[Ursus_arctos_horribilis]                                                      -          test1                -           6.3e-210  700.4 106.9   2.9e-89  302.0  40.5   4.4   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026370391.1_zinc_finger_protein_84_isoform_X10_[Ursus_arctos_horribilis]                                                -          test1                -           1.1e-209  699.6 124.4   1.8e-75  256.5  35.8   4.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026376842.1_zinc_finger_protein_624_isoform_X2_[Ursus_arctos_horribilis]                                                -          test1                -           4.8e-209  697.5  96.4  2.1e-100  338.8  39.1   5.0   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026376840.1_zinc_finger_protein_624_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           9.4e-209  696.5  96.1     1e-99  336.5  37.8   4.9   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026357314.1_zinc_finger_protein_197_isoform_X3_[Ursus_arctos_horribilis]                                                -          test1                -           2.6e-207  691.7  93.1   5.5e-90  304.4  39.1   5.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026343967.1_zinc_finger_protein_615_isoform_X2_[Ursus_arctos_horribilis]                                                -          test1                -           2.4e-206  688.6 117.6   8.5e-82  277.4  32.7   4.3   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026343966.1_zinc_finger_protein_615_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           4.1e-205  684.5 117.3   4.2e-82  278.4  33.6   4.3   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026338202.1_zinc_finger_protein_569_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           1.5e-203  679.4  95.2   2.6e-92  312.1  36.2   3.2   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026338203.1_zinc_finger_protein_569_isoform_X2_[Ursus_arctos_horribilis]                                                -          test1                -           1.4e-202  676.1  93.8   1.8e-91  309.3  35.1   3.2   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026340164.1_zinc_finger_protein_383-like_[Ursus_arctos_horribilis]                                                      -          test1                -           1.6e-202  675.9 103.9   2.1e-61  210.1  21.2   4.7   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026350955.1_zinc_finger_protein_23_isoform_X2_[Ursus_arctos_horribilis]                                                 -          test1                -           6.1e-202  674.0 101.9   6.2e-67  228.3  24.3   4.9   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026350956.1_zinc_finger_protein_23_isoform_X2_[Ursus_arctos_horribilis]                                                 -          test1                -           6.1e-202  674.0 101.9   6.2e-67  228.3  24.3   4.9   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026350957.1_zinc_finger_protein_23_isoform_X2_[Ursus_arctos_horribilis]                                                 -          test1                -           6.1e-202  674.0 101.9   6.2e-67  228.3  24.3   4.9   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026356409.1_zinc_finger_protein_502_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           3.1e-201  671.7 119.3   2.9e-62  212.9  30.1   3.9   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026370382.1_zinc_finger_protein_84_isoform_X2_[Ursus_arctos_horribilis]                                                 -          test1                -           9.4e-201  670.1 119.7   2.4e-75  256.1  35.9   4.2   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026370373.1_zinc_finger_protein_84_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             1e-200  670.0 119.7   2.4e-75  256.0  35.9   4.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026370374.1_zinc_finger_protein_84_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             1e-200  670.0 119.7   2.4e-75  256.0  35.9   4.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026370375.1_zinc_finger_protein_84_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             1e-200  670.0 119.7   2.4e-75  256.0  35.9   4.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026370376.1_zinc_finger_protein_84_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             1e-200  670.0 119.7   2.4e-75  256.0  35.9   4.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026370377.1_zinc_finger_protein_84_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             1e-200  670.0 119.7   2.4e-75  256.0  35.9   4.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026370378.1_zinc_finger_protein_84_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             1e-200  670.0 119.7   2.4e-75  256.0  35.9   4.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026370379.1_zinc_finger_protein_84_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             1e-200  670.0 119.7   2.4e-75  256.0  35.9   4.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026370380.1_zinc_finger_protein_84_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             1e-200  670.0 119.7   2.4e-75  256.0  35.9   4.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026370381.1_zinc_finger_protein_84_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             1e-200  670.0 119.7   2.4e-75  256.0  35.9   4.1   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026337110.1_zinc_finger_protein_426-like_[Ursus_arctos_horribilis]                                                      -          test1                -           1.2e-200  669.8 120.5   7.7e-80  270.9  29.0   3.2   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026336797.1_zinc_finger_protein_554-like_isoform_X2_[Ursus_arctos_horribilis]                                           -          test1                -           1.1e-196  656.7 138.7   8.4e-74  251.0  41.9   5.1   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026366941.1_zinc_finger_protein_184_[Ursus_arctos_horribilis]                                                           -          test1                -           5.3e-196  654.4 112.9   3.5e-59  202.7  30.9   5.2   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026366942.1_zinc_finger_protein_184_[Ursus_arctos_horribilis]                                                           -          test1                -           5.3e-196  654.4 112.9   3.5e-59  202.7  30.9   5.2   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026366943.1_zinc_finger_protein_184_[Ursus_arctos_horribilis]                                                           -          test1                -           5.3e-196  654.4 112.9   3.5e-59  202.7  30.9   5.2   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026366944.1_zinc_finger_protein_184_[Ursus_arctos_horribilis]                                                           -          test1                -           5.3e-196  654.4 112.9   3.5e-59  202.7  30.9   5.2   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026366945.1_zinc_finger_protein_184_[Ursus_arctos_horribilis]                                                           -          test1                -           5.3e-196  654.4 112.9   3.5e-59  202.7  30.9   5.2   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026343986.1_zinc_finger_protein_260-like_[Ursus_arctos_horribilis]                                                      -          test1                -           1.3e-195  653.1 107.0   2.5e-62  213.1  24.0   5.5   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026343987.1_zinc_finger_protein_260-like_[Ursus_arctos_horribilis]                                                      -          test1                -           1.3e-195  653.1 107.0   2.5e-62  213.1  24.0   5.5   1   1   3   4   4   4   4 -
Ursus_arctos____carnivora_XP_026343990.1_zinc_finger_protein_260-like_isoform_X2_[Ursus_arctos_horribilis]                                           -          test1                -           2.2e-195  652.3 114.8     5e-79  268.2  51.1   3.1   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026343988.1_zinc_finger_protein_260-like_isoform_X1_[Ursus_arctos_horribilis]                                           -          test1                -           6.7e-195  650.8 115.5   7.1e-79  267.7  51.6   3.1   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026343989.1_zinc_finger_protein_260-like_isoform_X1_[Ursus_arctos_horribilis]                                           -          test1                -           6.7e-195  650.8 115.5   7.1e-79  267.7  51.6   3.1   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026350951.1_zinc_finger_protein_23_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             7e-193  644.1  96.3   7.5e-67  228.0  24.5   4.9   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026350952.1_zinc_finger_protein_23_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             7e-193  644.1  96.3   7.5e-67  228.0  24.5   4.9   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026350953.1_zinc_finger_protein_23_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             7e-193  644.1  96.3   7.5e-67  228.0  24.5   4.9   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026350954.1_zinc_finger_protein_23_isoform_X1_[Ursus_arctos_horribilis]                                                 -          test1                -             7e-193  644.1  96.3   7.5e-67  228.0  24.5   4.9   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026363528.1_zinc_finger_protein_2_homolog_isoform_X2_[Ursus_arctos_horribilis]                                          -          test1                -           1.6e-190  636.3  88.2  4.7e-102  344.2  41.3   2.6   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026363529.1_zinc_finger_protein_2_homolog_isoform_X2_[Ursus_arctos_horribilis]                                          -          test1                -           1.6e-190  636.3  88.2  4.7e-102  344.2  41.3   2.6   1   1   2   3   3   3   3 -
Ursus_arctos____carnivora_XP_026363530.1_zinc_finger_protein_2_homolog_isoform_X2_[Ursus_arctos_horribilis]                                          -          test1                -           1.6e-190  636.3  88.2  4.7e-102  344.2  41.3   2.6   1   1   2   3   3   3   3 -
